 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602770120.702055]      *** Running mifaser with up to 28 parallel thread(s)
[1602774514.175446]      *** Post-processing...
[1602769968.0810971]     *** Input: Uncompressed file ERR598981_cut20M.fastq
[1602769968.0811224]         Converting ERR598981_cut20M.fastq from fastq to fasta format...
[1602770040.4991229]         Getting input file statistics...
[1602770040.4992127]         Input file size: 3466MB
[1602770052.5089478]         Input file reads: 20000000
[1602770228.3238044]         [Thread #9]      Annotating...
[1602770228.6094608]         [Thread #9]      Analyzing...
[1602770228.6654224]         [Thread #9]      Create read mapping...
[1602770244.311813]          [Thread #9]    - [Thread #9] finished
[1602770224.283496]          [Thread #10]    - [Thread #10] running on [1/28] CPUs
[1602770224.2835348]         [Thread #10]      Creating output directories...
[1602770224.284945]          [Thread #10]      Translating reads...
[1602770244.171375]          [Thread #10]      Running DIAMOND...
[1602770250.1104183]         [Thread #10]      Converting DIAMOND...
[1602770250.2428696]         [Thread #10]      Parsing DIAMOND...
[1602770250.421487]          [Thread #10]      Annotating...
[1602770250.7327893]         [Thread #10]      Analyzing...
[1602770250.878294]          [Thread #10]      Create read mapping...
[1602770267.2068443]         [Thread #10]    - [Thread #10] finished
[1602770246.497785]          [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602770246.4978662]         [Thread #11]      Creating output directories...
[1602770246.5005112]         [Thread #11]      Translating reads...
[1602770267.167468]          [Thread #11]      Running DIAMOND...
[1602770273.1655254]         [Thread #11]      Converting DIAMOND...
[1602770273.2865443]         [Thread #11]      Parsing DIAMOND...
[1602770273.4489608]         [Thread #11]      Annotating...
[1602770273.598051]          [Thread #11]      Analyzing...
[1602770273.911605]          [Thread #11]      Create read mapping...
[1602770289.3318424]         [Thread #11]    - [Thread #11] finished
[1602770269.357651]          [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602770269.3577325]         [Thread #12]      Creating output directories...
[1602770269.359596]          [Thread #12]      Translating reads...
[1602770289.0325525]         [Thread #12]      Running DIAMOND...
[1602770294.9963033]         [Thread #12]      Converting DIAMOND...
[1602770295.1093962]         [Thread #12]      Parsing DIAMOND...
[1602770295.3630083]         [Thread #12]      Annotating...
[1602770295.7797868]         [Thread #12]      Analyzing...
[1602770295.8602881]         [Thread #12]      Create read mapping...
[1602770311.2289734]         [Thread #12]    - [Thread #12] finished
[1602770291.39522]           [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602770291.3953457]         [Thread #13]      Creating output directories...
[1602770291.5415614]         [Thread #13]      Translating reads...
[1602770311.1712272]         [Thread #13]      Running DIAMOND...
[1602770317.1219354]         [Thread #13]      Converting DIAMOND...
[1602770317.3193614]         [Thread #13]      Parsing DIAMOND...
[1602770317.4962103]         [Thread #13]      Annotating...
[1602770317.7202263]         [Thread #13]      Analyzing...
[1602770317.937487]          [Thread #13]      Create read mapping...
[1602770333.5983307]         [Thread #13]    - [Thread #13] finished
[1602770313.4752767]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602770313.475361]          [Thread #14]      Creating output directories...
[1602770313.4770687]         [Thread #14]      Translating reads...
[1602770333.4907641]         [Thread #14]      Running DIAMOND...
[1602770339.437638]          [Thread #14]      Converting DIAMOND...
[1602770339.5637672]         [Thread #14]      Parsing DIAMOND...
[1602770339.7761335]         [Thread #14]      Annotating...
[1602770340.1169147]         [Thread #14]      Analyzing...
[1602770340.3456]            [Thread #14]      Create read mapping...
[1602770357.3661501]         [Thread #14]    - [Thread #14] finished
[1602770335.8586786]         [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602770335.8587463]         [Thread #15]      Creating output directories...
[1602770335.8603833]         [Thread #15]      Translating reads...
[1602770357.1955614]         [Thread #15]      Running DIAMOND...
[1602770363.263509]          [Thread #15]      Converting DIAMOND...
[1602770363.3767638]         [Thread #15]      Parsing DIAMOND...
[1602770363.553276]          [Thread #15]      Annotating...
[1602770363.9642944]         [Thread #15]      Analyzing...
[1602770364.2980645]         [Thread #15]      Create read mapping...
[1602770379.5505116]         [Thread #15]    - [Thread #15] finished
[1602770359.4149945]         [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602770359.4150765]         [Thread #16]      Creating output directories...
[1602770359.4168816]         [Thread #16]      Translating reads...
[1602770379.395373]          [Thread #16]      Running DIAMOND...
[1602770385.5046358]         [Thread #16]      Converting DIAMOND...
[1602770385.6332085]         [Thread #16]      Parsing DIAMOND...
[1602770385.785016]          [Thread #16]      Annotating...
[1602770385.9476128]         [Thread #16]      Analyzing...
[1602770386.0818038]         [Thread #16]      Create read mapping...
[1602770401.9673166]         [Thread #16]    - [Thread #16] finished
[1602770381.7805095]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602770381.780592]          [Thread #17]      Creating output directories...
[1602770381.784863]          [Thread #17]      Translating reads...
[1602770401.8364878]         [Thread #17]      Running DIAMOND...
[1602770407.9952426]         [Thread #17]      Converting DIAMOND...
[1602770408.1140609]         [Thread #17]      Parsing DIAMOND...
[1602770408.4039357]         [Thread #17]      Annotating...
[1602770408.4645288]         [Thread #17]      Analyzing...
[1602770408.711935]          [Thread #17]      Create read mapping...
[1602770424.3228571]         [Thread #17]    - [Thread #17] finished
[1602770404.2169042]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602770404.2169752]         [Thread #18]      Creating output directories...
[1602770404.218463]          [Thread #18]      Translating reads...
[1602770424.197492]          [Thread #18]      Running DIAMOND...
[1602770430.1969116]         [Thread #18]      Converting DIAMOND...
[1602770430.3161097]         [Thread #18]      Parsing DIAMOND...
[1602770430.4705453]         [Thread #18]      Annotating...
[1602770430.6836736]         [Thread #18]      Analyzing...
[1602770431.0223498]         [Thread #18]      Create read mapping...
[1602770447.3023667]         [Thread #18]    - [Thread #18] finished
[1602770426.8611314]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602770426.8611708]         [Thread #19]      Creating output directories...
[1602770426.8649073]         [Thread #19]      Translating reads...
[1602770447.05291]           [Thread #19]      Running DIAMOND...
[1602770453.1955438]         [Thread #19]      Converting DIAMOND...
[1602770453.3070562]         [Thread #19]      Parsing DIAMOND...
[1602770453.490981]          [Thread #19]      Annotating...
[1602770453.688849]          [Thread #19]      Analyzing...
[1602770453.9904883]         [Thread #19]      Create read mapping...
[1602770469.1732626]         [Thread #19]    - [Thread #19] finished
[1602770449.3153079]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602770449.3153918]         [Thread #20]      Creating output directories...
[1602770449.3173845]         [Thread #20]      Translating reads...
[1602770469.0767016]         [Thread #20]      Running DIAMOND...
[1602770475.0735826]         [Thread #20]      Converting DIAMOND...
[1602770475.18727]           [Thread #20]      Parsing DIAMOND...
[1602770475.3350742]         [Thread #20]      Annotating...
[1602770475.6346948]         [Thread #20]      Analyzing...
[1602770475.958702]          [Thread #20]      Create read mapping...
[1602770491.737422]          [Thread #20]    - [Thread #20] finished
[1602770471.4176111]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602770471.417675]          [Thread #21]      Creating output directories...
[1602770471.4191575]         [Thread #21]      Translating reads...
[1602770491.6667445]         [Thread #21]      Running DIAMOND...
[1602770497.6075003]         [Thread #21]      Converting DIAMOND...
[1602770497.7228363]         [Thread #21]      Parsing DIAMOND...
[1602770497.9553561]         [Thread #21]      Annotating...
[1602770498.1891153]         [Thread #21]      Analyzing...
[1602770498.5428214]         [Thread #21]      Create read mapping...
[1602770514.6410408]         [Thread #21]    - [Thread #21] finished
[1602770493.927286]          [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602770493.9273684]         [Thread #22]      Creating output directories...
[1602770493.92897]           [Thread #22]      Translating reads...
[1602770514.3535097]         [Thread #22]      Running DIAMOND...
[1602770520.4203358]         [Thread #22]      Converting DIAMOND...
[1602770520.5238743]         [Thread #22]      Parsing DIAMOND...
[1602770520.6763766]         [Thread #22]      Annotating...
[1602770520.9032083]         [Thread #22]      Analyzing...
[1602770521.2373695]         [Thread #22]      Create read mapping...
[1602770536.697836]          [Thread #22]    - [Thread #22] finished
[1602770516.6914232]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602770516.691506]          [Thread #23]      Creating output directories...
[1602770516.6930938]         [Thread #23]      Translating reads...
[1602770536.6320827]         [Thread #23]      Running DIAMOND...
[1602770542.5073674]         [Thread #23]      Converting DIAMOND...
[1602770542.6048005]         [Thread #23]      Parsing DIAMOND...
[1602770542.8207371]         [Thread #23]      Annotating...
[1602770543.1102262]         [Thread #23]      Analyzing...
[1602770543.307843]          [Thread #23]      Create read mapping...
[1602770558.9084036]         [Thread #23]    - [Thread #23] finished
[1602770538.9222794]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602770538.9223623]         [Thread #24]      Creating output directories...
[1602770538.9241729]         [Thread #24]      Translating reads...
[1602770558.7959023]         [Thread #24]      Running DIAMOND...
[1602770564.714681]          [Thread #24]      Converting DIAMOND...
[1602770564.8344579]         [Thread #24]      Parsing DIAMOND...
[1602770565.0404184]         [Thread #24]      Annotating...
[1602770565.2572064]         [Thread #24]      Analyzing...
[1602770565.3650532]         [Thread #24]      Create read mapping...
[1602770580.705243]          [Thread #24]    - [Thread #24] finished
[1602770561.1747558]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602770561.1748376]         [Thread #25]      Creating output directories...
[1602770561.1763685]         [Thread #25]      Translating reads...
[1602770580.652111]          [Thread #25]      Running DIAMOND...
[1602770586.7533963]         [Thread #25]      Converting DIAMOND...
[1602770586.899575]          [Thread #25]      Parsing DIAMOND...
[1602770587.074618]          [Thread #25]      Annotating...
[1602770587.3602657]         [Thread #25]      Analyzing...
[1602770587.4871566]         [Thread #25]      Create read mapping...
[1602770603.6260273]         [Thread #25]    - [Thread #25] finished
[1602770583.3304758]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602770583.3305137]         [Thread #26]      Creating output directories...
[1602770583.3321319]         [Thread #26]      Translating reads...
[1602770603.366316]          [Thread #26]      Running DIAMOND...
[1602770609.4450843]         [Thread #26]      Converting DIAMOND...
[1602770609.5545409]         [Thread #26]      Parsing DIAMOND...
[1602770609.6944616]         [Thread #26]      Annotating...
[1602770609.8599534]         [Thread #26]      Analyzing...
[1602770609.9815807]         [Thread #26]      Create read mapping...
[1602770625.3706026]         [Thread #26]    - [Thread #26] finished
[1602770605.8059146]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602770605.805997]          [Thread #27]      Creating output directories...
[1602770605.807702]          [Thread #27]      Translating reads...
[1602770625.306687]          [Thread #27]      Running DIAMOND...
[1602770631.2573013]         [Thread #27]      Converting DIAMOND...
[1602770631.3667653]         [Thread #27]      Parsing DIAMOND...
[1602770631.5729918]         [Thread #27]      Annotating...
[1602770631.7606304]         [Thread #27]      Analyzing...
[1602770632.0745587]         [Thread #27]      Create read mapping...
[1602770647.6003265]         [Thread #27]    - [Thread #27] finished
[1602770627.592803]          [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602770627.5928843]         [Thread #28]      Creating output directories...
[1602770627.5946002]         [Thread #28]      Translating reads...
[1602770647.493409]          [Thread #28]      Running DIAMOND...
[1602770653.4625838]         [Thread #28]      Converting DIAMOND...
[1602770653.599554]          [Thread #28]      Parsing DIAMOND...
[1602770653.82027]           [Thread #28]      Annotating...
[1602770653.9316952]         [Thread #28]      Analyzing...
[1602770654.2296684]         [Thread #28]      Create read mapping...
[1602770669.890726]          [Thread #28]    - [Thread #28] finished
[1602770649.78922]           [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602770649.789351]          [Thread #29]      Creating output directories...
[1602770649.790765]          [Thread #29]      Translating reads...
[1602770669.7211185]         [Thread #29]      Running DIAMOND...
[1602770675.8164375]         [Thread #29]      Converting DIAMOND...
[1602770675.9402962]         [Thread #29]      Parsing DIAMOND...
[1602770676.1793547]         [Thread #29]      Annotating...
[1602770676.3217928]         [Thread #29]      Analyzing...
[1602770676.6176639]         [Thread #29]      Create read mapping...
[1602770692.0420752]         [Thread #29]    - [Thread #29] finished
[1602770672.0791194]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602770672.0791845]         [Thread #30]      Creating output directories...
[1602770672.0805926]         [Thread #30]      Translating reads...
[1602770691.9658918]         [Thread #30]      Running DIAMOND...
[1602770697.9459457]         [Thread #30]      Converting DIAMOND...
[1602770698.0635736]         [Thread #30]      Parsing DIAMOND...
[1602770698.223806]          [Thread #30]      Annotating...
[1602770698.3600235]         [Thread #30]      Analyzing...
[1602770698.4639678]         [Thread #30]      Create read mapping...
[1602770714.0841515]         [Thread #30]    - [Thread #30] finished
[1602770694.2395587]         [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602770694.2395961]         [Thread #31]      Creating output directories...
[1602770694.2411728]         [Thread #31]      Translating reads...
[1602770713.9689116]         [Thread #31]      Running DIAMOND...
[1602770719.8875601]         [Thread #31]      Converting DIAMOND...
[1602770719.990063]          [Thread #31]      Parsing DIAMOND...
[1602770720.2510316]         [Thread #31]      Annotating...
[1602770720.626585]          [Thread #31]      Analyzing...
[1602770720.956136]          [Thread #31]      Create read mapping...
[1602770736.6856623]         [Thread #31]    - [Thread #31] finished
[1602770716.3480413]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602770716.3481238]         [Thread #32]      Creating output directories...
[1602770716.3493938]         [Thread #32]      Translating reads...
[1602770736.6244876]         [Thread #32]      Running DIAMOND...
[1602770742.5374453]         [Thread #32]      Converting DIAMOND...
[1602770742.6686466]         [Thread #32]      Parsing DIAMOND...
[1602770742.8793638]         [Thread #32]      Annotating...
[1602770743.1292644]         [Thread #32]      Analyzing...
[1602770743.394329]          [Thread #32]      Create read mapping...
[1602770759.171787]          [Thread #32]    - [Thread #32] finished
[1602770738.870556]          [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602770738.8706381]         [Thread #33]      Creating output directories...
[1602770738.8721917]         [Thread #33]      Translating reads...
[1602770758.8827345]         [Thread #33]      Running DIAMOND...
[1602770764.9098628]         [Thread #33]      Converting DIAMOND...
[1602770765.0471783]         [Thread #33]      Parsing DIAMOND...
[1602770765.2425487]         [Thread #33]      Annotating...
[1602770765.4066544]         [Thread #33]      Analyzing...
[1602770765.5549912]         [Thread #33]      Create read mapping...
[1602770781.282561]          [Thread #33]    - [Thread #33] finished
[1602770761.2126017]         [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602770761.2126684]         [Thread #34]      Creating output directories...
[1602770761.3500254]         [Thread #34]      Translating reads...
[1602770781.2208974]         [Thread #34]      Running DIAMOND...
[1602770787.1684744]         [Thread #34]      Converting DIAMOND...
[1602770787.3011806]         [Thread #34]      Parsing DIAMOND...
[1602770787.4489248]         [Thread #34]      Annotating...
[1602770787.57027]           [Thread #34]      Analyzing...
[1602770787.9213035]         [Thread #34]      Create read mapping...
[1602770803.2184093]         [Thread #34]    - [Thread #34] finished
[1602770783.3804197]         [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602770783.3805022]         [Thread #35]      Creating output directories...
[1602770783.3819716]         [Thread #35]      Translating reads...
[1602770803.551334]          [Thread #35]      Running DIAMOND...
[1602770809.4484792]         [Thread #35]      Converting DIAMOND...
[1602770809.5777547]         [Thread #35]      Parsing DIAMOND...
[1602770809.722046]          [Thread #35]      Annotating...
[1602770809.8869212]         [Thread #35]      Analyzing...
[1602770810.182891]          [Thread #35]      Create read mapping...
[1602770826.2215447]         [Thread #35]    - [Thread #35] finished
[1602770805.690492]          [Thread #36]    - [Thread #36] running on [1/28] CPUs
[1602770805.6905758]         [Thread #36]      Creating output directories...
[1602770805.6920576]         [Thread #36]      Translating reads...
[1602770826.166452]          [Thread #36]      Running DIAMOND...
[1602770832.0758252]         [Thread #36]      Converting DIAMOND...
[1602770832.1926465]         [Thread #36]      Parsing DIAMOND...
[1602770832.519132]          [Thread #36]      Annotating...
[1602770832.7459922]         [Thread #36]      Analyzing...
[1602770833.0792742]         [Thread #36]      Create read mapping...
[1602770848.6469834]         [Thread #36]    - [Thread #36] finished
[1602770828.3807015]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602770828.3807821]         [Thread #37]      Creating output directories...
[1602770828.5098336]         [Thread #37]      Translating reads...
[1602770848.4988105]         [Thread #37]      Running DIAMOND...
[1602770854.439172]          [Thread #37]      Converting DIAMOND...
[1602770854.5665145]         [Thread #37]      Parsing DIAMOND...
[1602770854.8005853]         [Thread #37]      Annotating...
[1602770855.0272808]         [Thread #37]      Analyzing...
[1602770855.3295743]         [Thread #37]      Create read mapping...
[1602770872.2207468]         [Thread #37]    - [Thread #37] finished
[1602770850.821464]          [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602770850.8215444]         [Thread #38]      Creating output directories...
[1602770850.8229558]         [Thread #38]      Translating reads...
[1602770872.303104]          [Thread #38]      Running DIAMOND...
[1602770878.3663604]         [Thread #38]      Converting DIAMOND...
[1602770878.4639986]         [Thread #38]      Parsing DIAMOND...
[1602770878.5839248]         [Thread #38]      Annotating...
[1602770879.0117092]         [Thread #38]      Analyzing...
[1602770879.3332725]         [Thread #38]      Create read mapping...
[1602770894.5843766]         [Thread #38]    - [Thread #38] finished
[1602770874.4563482]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602770874.4564338]         [Thread #39]      Creating output directories...
[1602770874.4578757]         [Thread #39]      Translating reads...
[1602770894.4918518]         [Thread #39]      Running DIAMOND...
[1602770900.464419]          [Thread #39]      Converting DIAMOND...
[1602770900.671919]          [Thread #39]      Parsing DIAMOND...
[1602770900.8203151]         [Thread #39]      Annotating...
[1602770901.0902436]         [Thread #39]      Analyzing...
[1602770901.417196]          [Thread #39]      Create read mapping...
[1602770916.9079247]         [Thread #39]    - [Thread #39] finished
[1602770896.8135908]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602770896.8136723]         [Thread #40]      Creating output directories...
[1602770896.8150635]         [Thread #40]      Translating reads...
[1602770916.4940417]         [Thread #40]      Running DIAMOND...
[1602770922.6714942]         [Thread #40]      Converting DIAMOND...
[1602770922.7795982]         [Thread #40]      Parsing DIAMOND...
[1602770922.9207811]         [Thread #40]      Annotating...
[1602770923.1375124]         [Thread #40]      Analyzing...
[1602770923.3645577]         [Thread #40]      Create read mapping...
[1602770938.8199897]         [Thread #40]    - [Thread #40] finished
[1602770918.8190951]         [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602770918.8191774]         [Thread #41]      Creating output directories...
[1602770918.8206074]         [Thread #41]      Translating reads...
[1602770938.7686741]         [Thread #41]      Running DIAMOND...
[1602770944.761202]          [Thread #41]      Converting DIAMOND...
[1602770944.8835115]         [Thread #41]      Parsing DIAMOND...
[1602770945.2037528]         [Thread #41]      Annotating...
[1602770945.5318236]         [Thread #41]      Analyzing...
[1602770945.9359682]         [Thread #41]      Create read mapping...
[1602770961.267695]          [Thread #41]    - [Thread #41] finished
[1602770941.024109]          [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602770941.0241895]         [Thread #42]      Creating output directories...
[1602770941.026544]          [Thread #42]      Translating reads...
[1602770961.1516795]         [Thread #42]      Running DIAMOND...
[1602770967.091093]          [Thread #42]      Converting DIAMOND...
[1602770967.1884344]         [Thread #42]      Parsing DIAMOND...
[1602770967.40106]           [Thread #42]      Annotating...
[1602770967.8019142]         [Thread #42]      Analyzing...
[1602770968.1688952]         [Thread #42]      Create read mapping...
[1602770983.967015]          [Thread #42]    - [Thread #42] finished
[1602770963.5144494]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602770963.5145714]         [Thread #43]      Creating output directories...
[1602770963.5162492]         [Thread #43]      Translating reads...
[1602770983.7265482]         [Thread #43]      Running DIAMOND...
[1602770989.7777514]         [Thread #43]      Converting DIAMOND...
[1602770989.8920474]         [Thread #43]      Parsing DIAMOND...
[1602770990.053042]          [Thread #43]      Annotating...
[1602770990.2079074]         [Thread #43]      Analyzing...
[1602770990.4971962]         [Thread #43]      Create read mapping...
[1602771006.3554986]         [Thread #43]    - [Thread #43] finished
[1602770985.9556596]         [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602770985.9557414]         [Thread #44]      Creating output directories...
[1602770985.9571848]         [Thread #44]      Translating reads...
[1602771006.0260987]         [Thread #44]      Running DIAMOND...
[1602771012.1221926]         [Thread #44]      Converting DIAMOND...
[1602771012.2530158]         [Thread #44]      Parsing DIAMOND...
[1602771012.4083643]         [Thread #44]      Annotating...
[1602771012.7081223]         [Thread #44]      Analyzing...
[1602771013.024626]          [Thread #44]      Create read mapping...
[1602771028.9592662]         [Thread #44]    - [Thread #44] finished
[1602771008.4386952]         [Thread #45]    - [Thread #45] running on [1/28] CPUs
[1602771008.4387794]         [Thread #45]      Creating output directories...
[1602771008.4404776]         [Thread #45]      Translating reads...
[1602771028.896448]          [Thread #45]      Running DIAMOND...
[1602771034.8444216]         [Thread #45]      Converting DIAMOND...
[1602771034.9465804]         [Thread #45]      Parsing DIAMOND...
[1602771035.2005367]         [Thread #45]      Annotating...
[1602771035.3940709]         [Thread #45]      Analyzing...
[1602771035.6561656]         [Thread #45]      Create read mapping...
[1602771051.1029932]         [Thread #45]    - [Thread #45] finished
[1602771031.1586218]         [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602771031.1587029]         [Thread #46]      Creating output directories...
[1602771031.16016]           [Thread #46]      Translating reads...
[1602771051.0081346]         [Thread #46]      Running DIAMOND...
[1602771056.9616199]         [Thread #46]      Converting DIAMOND...
[1602771057.075214]          [Thread #46]      Parsing DIAMOND...
[1602771057.4458344]         [Thread #46]      Annotating...
[1602771057.6780915]         [Thread #46]      Analyzing...
[1602771057.9842632]         [Thread #46]      Create read mapping...
[1602771073.3568249]         [Thread #46]    - [Thread #46] finished
[1602771053.3269424]         [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602771053.3270245]         [Thread #47]      Creating output directories...
[1602771053.328391]          [Thread #47]      Translating reads...
[1602771073.1203413]         [Thread #47]      Running DIAMOND...
[1602771079.2434547]         [Thread #47]      Converting DIAMOND...
[1602771079.3454554]         [Thread #47]      Parsing DIAMOND...
[1602771079.4953582]         [Thread #47]      Annotating...
[1602771079.616857]          [Thread #47]      Analyzing...
[1602771080.0800128]         [Thread #47]      Create read mapping...
[1602771096.3109918]         [Thread #47]    - [Thread #47] finished
[1602771075.4278142]         [Thread #48]    - [Thread #48] running on [1/28] CPUs
[1602771075.4278967]         [Thread #48]      Creating output directories...
[1602771075.4293468]         [Thread #48]      Translating reads...
[1602771096.2077622]         [Thread #48]      Running DIAMOND...
[1602771102.158158]          [Thread #48]      Converting DIAMOND...
[1602771102.2660034]         [Thread #48]      Parsing DIAMOND...
[1602771102.5015485]         [Thread #48]      Annotating...
[1602771102.6439135]         [Thread #48]      Analyzing...
[1602771102.7322176]         [Thread #48]      Create read mapping...
[1602771118.368249]          [Thread #48]    - [Thread #48] finished
[1602771098.4504955]         [Thread #49]    - [Thread #49] running on [1/28] CPUs
[1602771098.4505794]         [Thread #49]      Creating output directories...
[1602771098.4519522]         [Thread #49]      Translating reads...
[1602771118.258799]          [Thread #49]      Running DIAMOND...
[1602771124.2581065]         [Thread #49]      Converting DIAMOND...
[1602771124.3980682]         [Thread #49]      Parsing DIAMOND...
[1602771124.6544967]         [Thread #49]      Annotating...
[1602771125.153563]          [Thread #49]      Analyzing...
[1602771125.4713974]         [Thread #49]      Create read mapping...
[1602771140.6702192]         [Thread #49]    - [Thread #49] finished
[1602771120.585648]          [Thread #50]    - [Thread #50] running on [1/28] CPUs
[1602771120.5857294]         [Thread #50]      Creating output directories...
[1602771120.5870502]         [Thread #50]      Translating reads...
[1602771140.6485837]         [Thread #50]      Running DIAMOND...
[1602771146.6541004]         [Thread #50]      Converting DIAMOND...
[1602771146.793017]          [Thread #50]      Parsing DIAMOND...
[1602771147.0505311]         [Thread #50]      Annotating...
[1602771147.2506976]         [Thread #50]      Analyzing...
[1602771147.3401225]         [Thread #50]      Create read mapping...
[1602771163.233598]          [Thread #50]    - [Thread #50] finished
[1602771142.8009992]         [Thread #51]    - [Thread #51] running on [1/28] CPUs
[1602771142.8010824]         [Thread #51]      Creating output directories...
[1602771142.803598]          [Thread #51]      Translating reads...
[1602771162.906527]          [Thread #51]      Running DIAMOND...
[1602771168.905376]          [Thread #51]      Converting DIAMOND...
[1602771169.0307608]         [Thread #51]      Parsing DIAMOND...
[1602771169.1659088]         [Thread #51]      Annotating...
[1602771169.4680223]         [Thread #51]      Analyzing...
[1602771169.7746565]         [Thread #51]      Create read mapping...
[1602771186.3773932]         [Thread #51]    - [Thread #51] finished
